num_people_enrolled,total_class_size,class_number,term
2,26,100,spr2008
15,49,101,spr2008
9,23,101,spr2008
25,0,110,spr2008
7,18,111,spr2008
5,20,111,spr2008
4,21,112,spr2008
13,12,112,spr2008
16,10,118,spr2008
8,22,144,spr2008
8,7,221,spr2008
4,26,301,spr2008
0,12,305,spr2008
10,0,305,spr2008
1,19,311,spr2008
2,11,313H,spr2008
14,16,330,spr2008
18,12,340,spr2008
25,0,346,spr2008
5,25,381,spr2008
0,1,399,spr2008
20,0,470,spr2008
4,1,490,spr2008
4,1,490,spr2008
4,1,490,spr2008
5,19,498,spr2008
10,20,548,spr2008
15,14,570,spr2008
25,0,611,spr2008
1,29,640,spr2008
13,12,679,spr2008
24,0,697,spr2008
0,3,699P,spr2008
2,26,100,spr2008
6,26,101,spr2008
25,0,110,spr2008
14,61,111,spr2008
2,23,111,spr2008
27,48,112,spr2008
10,15,112,spr2008
21,5,117,spr2008
8,22,144,spr2008
16,14,221,spr2008
8,7,221,spr2008
6,28,305,spr2008
0,16,305,spr2008
25,35,311,spr2008
4,16,311,spr2008
1,29,320,spr2008
18,12,340,spr2008
25,0,346,spr2008
17,13,380,spr2008
5,25,381,spr2008
2,28,465,spr2008
1,0,490,spr2008
0,5,490,spr2008
3,2,490,spr2008
2,3,490,spr2008
6,24,515,spr2008
10,15,550,spr2008
15,14,570,spr2008
1,29,620,spr2008
1,24,649,spr2008
16,8,682,spr2008
0,1,699P,spr2008
29,1,699P,spr2008
3,22,100,fa2008
19,51,101,fa2008
16,19,101,fa2008
10,15,110,fa2008
0,27,111,fa2008
0,23,111,fa2008
38,37,112,fa2008
2,23,112,fa2008
0,0,118,fa2008
4,26,144,fa2008
0,33,221,fa2008
2,14,221,fa2008
0,32,301,fa2008
1,14,305,fa2008
31,29,311,fa2008
23,7,311,fa2008
5,20,315,fa2008
2,23,330,fa2008
19,11,340,fa2008
10,20,344,fa2008
8,17,346,fa2008
29,21,400,fa2008
10,20,470,fa2008
7,17,498,fa2008
6,19,511,fa2008
13,12,542,fa2008
9,11,550,fa2008
9,1,574,fa2008
12,13,585,fa2008
0,0,598,fa2008
8,17,650,fa2008
30,0,689,fa2008
2,0,697,fa2008
3,0,699P,fa2008
1,2,699P,fa2008
2,1,699P,fa2008
3,22,100,fa2008
3,32,101,fa2008
10,15,110,fa2008
0,79,111,fa2008
0,29,111,fa2008
0,35,111X,fa2008
11,14,112,fa2008
0,0,117,fa2008
4,26,144,fa2008
6,18,211X,fa2008
0,19,221,fa2008
0,26,221X,fa2008
0,25,305,fa2008
0,11,305,fa2008
8,22,311,fa2008
4,20,311X,fa2008
7,17,320,fa2008
19,11,340,fa2008
10,20,344,fa2008
8,17,346,fa2008
6,24,380,fa2008
