num_people_enrolled,total_class_size,class_number,term,professor
44,99,Struct Progrmmng Problem Solving                                ,FALL 204,"['Dodds, Zachary B. ', 'Thom, Belinda ']"
39,99,Struct Progrmmng Problem Solving                                ,FALL 204,"['Dodds, Zachary B. ', 'Thom, Belinda ']"
39,99,Struct Progrmmng Problem Solving                                ,FALL 204,"['Thom, Belinda ', 'Dodds, Zachary B. ']"
41,99,Struct Progrmmng Problem Solving                                ,FALL 204,"['Thom, Belinda ', 'Dodds, Zachary B. ']"
163,400,Struct Programmg Prob Recitation                                ,FALL 204,"['Dodds, Zachary B. ', 'Thom, Belinda ']"
7,16,Intro Programming/Computer Tools                                ,FALL 204,"['Pinter-Lucke, James ']"
14,30,Intro to Computer Science w/Lab                                ,FALL 204,"['Chen, Tzu-Yi ']"
13,30,"Lab, Intro to Computer Science                                ",FALL 204,"['Chen, Tzu-Yi ']"
10,30,Fundamentals of Computer Science                                ,FALL 204,"['Bull, Everett L., Jr. ']"
36,42,Principles of Computer Science                                ,FALL 204,"['Libeskind-Hadas, Ran ']"
35,42,Principles of Computer Science                                ,FALL 204,"['Libeskind-Hadas, Ran ']"
17,20,Data Structures/Prgm Development                                ,FALL 204,"['Stone, Christopher ']"
11,20,Data Structures/Prgm Development                                ,FALL 204,"['Stone, Christopher ']"
18,44,Computability & Logic                                ,FALL 204,"['Aaron, Eric ']"
17,20,Computer Systems                                ,FALL 204,"['Erlinger, Michael A. ', 'Bull, Everett L.,, Jr. ', 'Bull, Everett L., Jr. ']"
11,20,Computer Systems                                ,FALL 204,"['Erlinger, Michael A. ', 'Bull, Everett L.,, Jr. ', 'Bull, Everett L., Jr. ']"
19,20,Computer Systems Lab                                ,FALL 204,"['Erlinger, Michael A. ', 'Bull, Everett L.,, Jr. ']"
9,20,Computer Systems Lab                                ,FALL 204,"['Erlinger, Michael A. ', 'Bull, Everett L.,, Jr. ']"
18,18,Software Development                                ,FALL 204,"['Sweedyk, Elizabeth Ann ']"
13,20,Computer Networks                                ,FALL 204,"['Erlinger, Michael A. ']"
11,20,Computer Networks Lab                                ,FALL 204,"['Erlinger, Michael A. ']"
9,20,Programming Languages                                ,FALL 204,"[""O'Neill, Melissa E. ""]"
14,20,Programming Languages                                ,FALL 204,"[""O'Neill, Melissa E. ""]"
17,35,Programming Languages Lab                                ,FALL 204,"[""O'Neill, Melissa E. ""]"
6,35,Programming Languages Lab                                ,FALL 204,"[""O'Neill, Melissa E. ""]"
15,18,Algorithms                                ,FALL 204,"['Thom, Belinda ']"
16,24,Artificial Intelligence                                ,FALL 204,"['Marshall, James B. ']"
8,24,Neural Networks                                ,FALL 204,"['Keller, Robert M. ']"
12,20,Computer Graphics                                ,FALL 204,"['Sweedyk, Elizabeth Ann ']"
11,20,Computer Graphics Lab                                ,FALL 204,"['Sweedyk, Elizabeth Ann ']"
0,24,Computer Science Seminar - Software Testing/Qual Assurance ,FALL 204,"['Keller, Robert M. ']"
22,99,Computer Science Clinic I                                ,FALL 204,"['Keller, Robert M. ']"
0,99,Computer Science Research I                                ,FALL 204,['Staff ']
3,99,Computer Science Research I                                ,FALL 204,"['Dodds, Zachary B. ']"
1,35,Computer Science Research I                                ,FALL 204,"['Thom, Belinda ']"
2,35,Computer Science Research I                                ,FALL 204,"['Erlinger, Michael A. ']"
2,35,Computer Science Research I                                ,FALL 204,"['Sweedyk, Elizabeth Ann ']"
20,99,Programming Practicum                                ,FALL 204,"['Dodds, Zachary B. ']"
6,10,Computer Science Senior Seminar                                ,FALL 204,"['Aaron, Eric ', 'Marshall, James B. ']"
0,99,Computer Science Project I                                ,FALL 204,['Staff ']
2,35,Computer Science Project I                                ,FALL 204,"['Sweedyk, Elizabeth Ann ']"
36,99,Computer Science Colloquium                                ,FALL 204,"['Thom, Belinda ']"
27,99,Computer Science Colloquium                                ,FALL 204,"['Thom, Belinda ']"
1,99,Computer Science Colloquium                                ,FALL 204,"['Thom, Belinda ']"
0,99,Adv Problems in Computer Science                                ,FALL 204,['Staff ']
10,24,Programming for Science+Engineer                                ,FALL 204,"['Higdon, James C. ']"
41,45,Struct Progrmmng Problem Solving                                ,FALL 205,"['Thom, Belinda ', 'Thom, Belinda ', 'Thom, Belinda ']"
43,45,Struct Progrmmng Problem Solving                                ,FALL 205,"['Thom, Belinda ', 'Thom, Belinda ', 'Thom, Belinda ']"
40,45,Struct Progrmmng Problem Solving                                ,FALL 205,"['Thom, Belinda ', 'Thom, Belinda ', 'Thom, Belinda ']"
42,45,Struct Progrmmng Problem Solving                                ,FALL 205,"['Thom, Belinda ', 'Thom, Belinda ', 'Thom, Belinda ']"
13,18,Intro to Computer Science (CS I)                                ,FALL 205,"['Lee, Arthur H. ']"
3,30,Intro to Computer Science w/Lab                                ,FALL 205,"['Bruce, Kim Barry ', 'Bruce, Kim Barry ']"
10,30,Fundamentals of Computer Science                                ,FALL 205,"['Bull, Everett L., Jr. ']"
28,42,Principles of Computer Science                                ,FALL 205,"['Libeskind-Hadas, Ran ']"
24,42,Principles of Computer Science                                ,FALL 205,"['Libeskind-Hadas, Ran ']"
6,20,Data Structures/Prgm Development                                ,FALL 205,"['Stone, Christopher ']"
13,20,Data Structures/Prgm Development                                ,FALL 205,"['Stone, Christopher ']"
8,44,Computability & Logic                                ,FALL 205,"['Vanderwaart, C. Joseph ']"
4,19,Computer Systems                                ,FALL 205,"['Lee, Arthur H. ']"
6,20,Computer Systems                                ,FALL 205,"['Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ']"
19,20,Computer Systems                                ,FALL 205,"['Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ']"
4,20,Computer Systems                                ,FALL 205,"['Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ']"
9,20,Computer Systems                                ,FALL 205,"['Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ']"
13,18,Software Development                                ,FALL 205,"['Sweedyk, Elizabeth Ann ']"
13,20,Computer Networks                                ,FALL 205,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
9,20,Programming Languages                                ,FALL 205,"[""O'Neill, Melissa E. "", ""O'Neill, Melissa E. ""]"
12,20,Programming Languages                                ,FALL 205,"[""O'Neill, Melissa E. "", ""O'Neill, Melissa E. ""]"
20,36,Algorithms                                ,FALL 205,"['Vanderwaart, C. Joseph ']"
23,24,Artificial Intelligence                                ,FALL 205,"['Marshall, James B. ']"
9,15,Computer Vision                                ,FALL 205,"['Alvarado, Christine J. ']"
21,20,Computer Graphics                                ,FALL 205,"['Sweedyk, Elizabeth Ann ']"
25,66,Computer Science Clinic I                                ,FALL 205,"['Kuenning, Geoffrey H. ']"
0,99,Computer Science Research I                                ,FALL 205,['Staff ']
1,10,Computer Science Research I                                ,FALL 205,"['Kuenning, Geoffrey H. ']"
1,10,Computer Science Research I                                ,FALL 205,"['Thom, Belinda ']"
4,15,Computer Science Research I                                ,FALL 205,"['Sweedyk, Elizabeth Ann ']"
0,10,Computer Science Research I                                ,FALL 205,"['Libeskind-Hadas, Ran ']"
1,35,Computer Science Research I                                ,FALL 205,"[""O'Neill, Melissa E. ""]"
17,24,Programming Practicum                                ,FALL 205,"['Stone, Christopher ']"
8,10,Computer Science Senior Seminar                                ,FALL 205,"['Bruce, Kim Barry ', 'Marshall, James B. ']"
0,35,Computer Science Project I                                ,FALL 205,['Staff ']
0,35,Computer Science Project I                                ,FALL 205,['Staff ']
0,35,Computer Science Project I                                ,FALL 205,['Staff ']
0,10,Computer Science Project I                                ,FALL 205,"['Sweedyk, Elizabeth Ann ']"
2,15,Computer Science Senior Project                                ,FALL 205,"['Marshall, James B. ']"
25,99,Computer Science Colloquium                                ,FALL 205,"['Thom, Belinda ']"
31,99,Computer Science Colloquium                                ,FALL 205,"['Thom, Belinda ']"
0,99,Adv Problems in Computer Science                                ,FALL 205,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 205,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 205,['Staff ']
3,35,Adv Problems in Computer Science                                ,FALL 205,"['Thom, Belinda ']"
1,1,Independent Study in Comp Sci - Persistent Store & ORM          ,FALL 205,"['Lee, Arthur H. ']"
14,24,Programming for Science+Engineer                                ,FALL 205,"['Higdon, James C. ']"
69,95,Introduction to Computer Science                                ,FALL 207,"['Dodds, Zachary B. ']"
42,45,Introduction to Computer Science                                ,FALL 207,"['Kuenning, Geoffrey H. ']"
61,95,Introduction to Computer Science                                ,FALL 207,"['Dodds, Zachary B. ']"
34,45,Introduction to Computer Science                                ,FALL 207,"['Kuenning, Geoffrey H. ']"
60,60,Intro to Computer Science Lab                                ,FALL 207,"['Kuenning, Geoffrey H. ', 'Dodds, Zachary B. ']"
53,60,Intro to Computer Science Lab                                ,FALL 207,"['Dodds, Zachary B. ', 'Kuenning, Geoffrey H. ']"
50,60,Intro to Computer Science Lab                                ,FALL 207,"['Kuenning, Geoffrey H. ', 'Dodds, Zachary B. ']"
42,60,Intro to Computer Science Lab                                ,FALL 207,"['Kuenning, Geoffrey H. ', 'Dodds, Zachary B. ']"
7,19,Introduction to Computer Science                                ,FALL 207,"['Pinter-Lucke, James ']"
12,40,Intro to Computer Science w/Lab                                ,FALL 207,"['Bruce, Kim Barry ']"
12,40,"Lab, Intro to Computer Science                                ",FALL 207,"['Bruce, Kim Barry ']"
22,30,Fundamentals of Computer Science                                ,FALL 207,"['Sood, Sara Owsley ']"
27,30,Principles of Computer Science                                ,FALL 207,"['Alvarado, Christine J. ']"
7,19,Data Structures &Adv Programming                                ,FALL 207,"['Lee, Arthur H. ']"
23,19,Data Structures/Prgm Development                                ,FALL 207,"[""O'Neill, Melissa E. ""]"
10,19,Computability and Logic                                ,FALL 207,"['Sweedyk, Elizabeth Ann ', 'Keller, Robert M. ']"
15,18,Computer Systems                                ,FALL 207,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
17,25,Software Development                                ,FALL 207,"['Kampe, Mark A. ']"
10,10,User Interface Design                                ,FALL 207,"['Alvarado, Christine J. ']"
8,14,Computer Networks                                ,FALL 207,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
23,19,Programming Languages                                ,FALL 207,"['Stone, Christopher ', 'Stone, Christopher ']"
6,14,Compiler Design                                ,FALL 207,"['Stone, Christopher ']"
9,12,Operating Systems                                ,FALL 207,"[""O'Neill, Melissa E. ""]"
8,19,Distrib. Software Architecture                                ,FALL 207,"['Lee, Arthur H. ']"
8,15,Algorithms                                ,FALL 207,"['Pippenger, Nicholas J. ']"
17,36,Artificial Intelligence                                ,FALL 207,"['Sood, Sara Owsley ']"
6,14,Neural Networks                                ,FALL 207,"['Keller, Robert M. ']"
12,18,Computer Graphics                                ,FALL 207,"['Sweedyk, Elizabeth Ann ']"
1,5,Computer Science Seminar - BFSNet - Sensor Networks        ,FALL 207,"['Erlinger, Michael A. ']"
21,66,Computer Science Clinic I                                ,FALL 207,"['Keller, Robert M. ']"
1,99,Computer Science Research I                                ,FALL 207,"[""O'Neill, Melissa E. ""]"
2,10,Computer Science Research I                                ,FALL 207,"['Alvarado, Christine J. ']"
22,24,Programming Practicum                                ,FALL 207,"['Dodds, Zachary B. ']"
10,20,Computer Science Senior Seminar                                ,FALL 207,"['Bruce, Kim Barry ', 'Sood, Sara Owsley ']"
0,35,Computer Science Project I                                ,FALL 207,"['Dodds, Zachary B. ']"
0,35,Computer Science Project I                                ,FALL 207,"['Dodds, Zachary B. ']"
1,35,Computer Science Project I                                ,FALL 207,"['Dodds, Zachary B. ']"
3,35,Computer Science Project I                                ,FALL 207,"['Dodds, Zachary B. ']"
1,10,Sr Research/Thesis Computer Sci                                ,FALL 207,"['Bruce, Kim Barry ']"
