num_people_enrolled,total_class_size,class_number,term
45,80,CS-100,9 Fall
9,40,CS-107,9 Fall
10,40,CS-107,9 Fall
-2,40,CS-107,9 Fall
6,40,CS-108,9 Fall
-5,40,CS-108,9 Fall
6,40,CS-237,9 Fall
43,90,CS-301,9 Fall
24,60,CS-310,9 Fall
-7,40,CS-320,9 Fall
21,60,CS-370,9 Fall
6,40,CS-440,9 Fall
3,10,CS-490,9 Fall
3,10,CS-490,9 Fall
4,10,CS-490,9 Fall
9,30,CS-505,9 Fall
28,90,CS-514,9 Fall
13,30,CS-524,9 Fall
19,60,CS-530,9 Fall
7,40,CS-532,9 Fall
29,40,CS-534,9 Fall
3,40,CS-541,9 Fall
18,30,CS-556,9 Fall
26,40,CS-558,9 Fall
14,60,CS-560,9 Fall
21,30,CS-562,9 Fall
28,60,CS-570,9 Fall
6,60,CS-574,9 Fall
18,60,CS-576,9 Fall
39,60,CS-580,9 Fall
15,20,CS-581,9 Fall
7,40,CS-596,9 Fall
-14,30,CS-596,9 Fall
13,30,CS-600,9 Fall
-51,80,CS-615,9 Fall
-7,40,CS-635,9 Fall
12,30,CS-652,9 Fall
15,30,CS-657,9 Fall
17,40,CS-660,9 Fall
23,30,CS-682,9 Fall
-3,40,CS-696,9 Fall
18,30,CS-696,9 Fall
8,10,CS-790,9 Fall
16,40,CS-100,9 Spring
7,72,CS-107,9 Spring
3,36,CS-107,9 Spring
1,36,CS-107,9 Spring
-1,36,CS-108,9 Spring
16,36,CS-108,9 Spring
21,80,CS-237,9 Spring
-2,100,CS-301,9 Spring
-11,60,CS-310,9 Spring
4,60,CS-320,9 Spring
34,70,CS-370,9 Spring
26,40,CS-440,9 Spring
0,30,CS-470,9 Spring
-2,10,CS-490,9 Spring
4,12,CS-490,9 Spring
0,12,CS-490,9 Spring
9,50,CS-503,9 Spring
36,70,CS-520,9 Spring
18,40,CS-530,9 Spring
-12,60,CS-537,9 Spring
39,60,CS-540,9 Spring
15,60,CS-550,9 Spring
25,40,CS-559,9 Spring
2,60,CS-560,9 Spring
1,30,CS-560,9 Spring
-17,60,CS-561,9 Spring
17,60,CS-570,9 Spring
24,40,CS-572,9 Spring
30,40,CS-582,9 Spring
31,40,CS-596,9 Spring
30,60,CS-620,9 Spring
43,60,CS-652,9 Spring
-15,40,CS-656,9 Spring
53,60,CS-660,9 Spring
12,60,CS-662,9 Spring
12,80,CS-696,9 Spring
2,60,CS-696,9 Spring
3,10,CS-790,9 Spring
38,76,CS-100,10 Fall
2,40,CS-107,10 Fall
20,80,CS-107,10 Fall
41,80,CS-108,10 Fall
-5,40,CS-108,10 Fall
5,60,CS-237,10 Fall
8,120,CS-301,10 Fall
7,60,CS-310,10 Fall
12,60,CS-320,10 Fall
19,60,CS-370,10 Fall
9,40,CS-440,10 Fall
1,10,CS-490,10 Fall
0,10,CS-490,10 Fall
1,10,CS-490,10 Fall
13,40,CS-496,10 Fall
31,90,CS-514,10 Fall
13,50,CS-524,10 Fall
20,60,CS-530,10 Fall
16,40,CS-542,10 Fall
13,40,CS-552,10 Fall
12,30,CS-556,10 Fall
-6,52,CS-560,10 Fall
20,30,CS-562,10 Fall
19,60,CS-570,10 Fall
28,40,CS-580,10 Fall
11,20,CS-581,10 Fall
6,40,CS-583,10 Fall
-1,50,CS-596,10 Fall
5,30,CS-600,10 Fall
21,100,CS-615,10 Fall
5,50,CS-635,10 Fall
17,30,CS-657,10 Fall
24,40,CS-660,10 Fall
27,40,CS-664,10 Fall
35,40,CS-682,10 Fall
-3,40,CS-696,10 Fall
8,10,CS-790,10 Fall
12,40,CS-100,10 Spring
4,72,CS-107,10 Spring
25,72,CS-107,10 Spring
7,36,CS-108,10 Spring
3,36,CS-108,10 Spring
9,65,CS-237,10 Spring
0,140,CS-301,10 Spring
-1,80,CS-310,10 Spring
10,60,CS-320,10 Spring
34,70,CS-370,10 Spring
13,40,CS-440,10 Spring
2,12,CS-490,10 Spring
6,12,CS-490,10 Spring
9,12,CS-490,10 Spring
36,60,CS-520,10 Spring
16,40,CS-530,10 Spring
29,60,CS-535,10 Spring
29,60,CS-537,10 Spring
25,40,CS-540,10 Spring
9,50,CS-550,10 Spring
31,40,CS-553,10 Spring
28,40,CS-558,10 Spring
36,40,CS-559,10 Spring
0,60,CS-560,10 Spring
26,60,CS-570,10 Spring
27,40,CS-572,10 Spring
33,40,CS-582,10 Spring
21,40,CS-596,10 Spring
23,60,CS-620,10 Spring
32,40,CS-650,10 Spring
2,40,CS-656,10 Spring
32,40,CS-660,10 Spring
27,40,CS-662,10 Spring
20,45,CS-670,10 Spring
6,10,CS-790,10 Spring
13,50,CS-100,11 Fall
