,term,Course_Name,enrolled,total_Seats
0,Fall 2005,CSC 203 [01 ],19,30
1,Fall 2005,CSC 210 [01 ],29,40
2,Fall 2005,CSC 210 [02 ],58,75
3,Fall 2005,CSC 211 [01 ],24,45
4,Fall 2005,CSC 212 [01 ],55,75
5,Fall 2005,CSC 213 [01 ],41,43
6,Fall 2005,CSC 214 [01 ],20,40
7,Fall 2005,CSC 305 [01 ],42,75
8,Fall 2005,CSC 310 [01 ],61,75
9,Fall 2005,CSC 313 [01 ],27,40
10,Fall 2005,CSC 313 [02 ],25,40
11,Fall 2005,CSC 413 [01 ],21,40
12,Fall 2005,CSC 413 [02 ],35,40
13,Fall 2005,CSC 415 [01 ],43,40
14,Fall 2005,CSC 510 [01 ],53,75
15,Fall 2005,CSC 520 [01 ],47,40
16,Fall 2005,CSC 600 [01 ],24,40
17,Fall 2005,CSC 600 [02 ],29,40
18,Fall 2005,CSC 615 [01 ],11,30
19,Fall 2005,CSC 630 [01 ],26,35
20,Fall 2005,CSC 640 [01 ],28,25
21,Fall 2005,CSC 641 [01 ],10,20
22,Fall 2005,CSC 650 [01 ],38,35
23,Fall 2005,CSC 664 [01 ],13,20
24,Fall 2005,CSC 668 [01 ],5,20
25,Fall 2005,CSC 675 [01 ],15,20
26,Fall 2005,CSC 693 [01 ],0,25
27,Fall 2005,CSC 693 [02 ],0,25
28,Fall 2005,CSC 694 [01 ],1,10
29,Fall 2005,CSC 694 [02 ],0,10
30,Fall 2005,CSC 694 [03 ],1,10
31,Fall 2005,CSC 695 [01 ],3,25
32,Fall 2005,CSC 697 [01 ],0,0
33,Fall 2005,CSC 699 [01 ],0,0
34,Fall 2005,CSC 699 [02 ],0,0
35,Fall 2005,CSC 699 [03 ],0,0
36,Fall 2005,CSC 730 [01 ],23,30
37,Fall 2005,CSC 775 [01 ],6,15
38,Fall 2005,CSC 810 [01 ],27,30
39,Fall 2005,CSC 835 [01 ],24,25
40,Fall 2005,CSC 841 [01 ],11,15
41,Fall 2005,CSC 848 [01 ],29,15
42,Fall 2005,CSC 858 [01 ],14,30
43,Fall 2005,CSC 864 [01 ],18,15
44,Fall 2005,CSC 868 [01 ],9,15
45,Fall 2005,CSC 870 [01 ],14,20
46,Fall 2005,CSC 893 [01 ],1,30
47,Fall 2005,CSC 895 [01 ],0,0
48,Fall 2005,CSC 897 [01 ],0,0
49,Fall 2005,CSC 897 [02 ],0,0
50,Fall 2005,CSC 897 [03 ],0,0
51,Fall 2005,CSC 897 [04 ],0,0
52,Fall 2005,CSC 898 [01 ],0,0
53,Fall 2005,CSC 899 [01 ],0,0
54,Fall 2005,CSC 899 [02 ],0,0
55,Fall 2005,CSC 899 [03 ],1,0
56,Fall 2005,CSC 897 [03 ],0,0
57,Fall 2005,CSC 897 [04 ],0,0
58,Fall 2005,CSC 898 [01 ],0,0
59,Fall 2005,CSC 899 [01 ],0,0
60,Fall 2005,CSC 899 [02 ],0,0
61,Fall 2005,CSC 899 [03 ],1,0
62,Fall 2005,CSC 897 [03 ],0,0
63,Fall 2005,CSC 897 [04 ],0,0
64,Fall 2005,CSC 898 [01 ],0,0
65,Fall 2005,CSC 899 [01 ],0,0
66,Fall 2005,CSC 899 [02 ],0,0
67,Fall 2005,CSC 899 [03 ],1,0
68,Fall 2005,CSC 897 [03 ],0,0
69,Fall 2005,CSC 897 [04 ],0,0
70,Fall 2005,CSC 898 [01 ],0,0
71,Fall 2005,CSC 899 [01 ],0,0
72,Fall 2005,CSC 899 [02 ],0,0
73,Fall 2005,CSC 899 [03 ],1,0
74,Spring 2006,CSC 202 [01 ],15,50
75,Spring 2006,CSC 203 [01 ],24,30
76,Spring 2006,CSC 205 [01 ],43,50
77,Spring 2006,CSC 210 [01 ],48,50
78,Spring 2006,CSC 210 [02 ],27,40
