num_people_enrolled,total_class_size,class_number,term
70 , 283,,2014 Spring
14 , 208,,2014 Spring
27 , 327,,2014 Spring
44 , 339,,2014 Spring
16 , 141,,2014 Spring
27 , 155,,2014 Spring
16 , 96,,2014 Spring
9 , 50,,2014 Spring
7 , 128,,2014 Spring
14 , 178,,2014 Spring
18 , 106,,2014 Spring
12 , 24,,2014 Spring
119 , 136,,2014 Spring
96 , 117,,2014 Spring
100 , 128,,2014 Spring
160 , 178,,2014 Spring
85 , 106,,2014 Spring
22 , 46,,2014 Spring
4 , 13,,2014 Spring
25 , 37,,2014 Spring
21 , 31,,2014 Spring
8 , 30,,2014 Spring
2 , 11,,2014 Spring
2 , 283,,2014 Spring
3 , 208,,2014 Spring
3 , 327,,2014 Spring
2 , 339,,2014 Spring
1 , 141,,2014 Spring
0 , 155,,2014 Spring
1 , 96,,2014 Spring
1 , 50,,2014 Spring
1 , 128,,2014 Spring
4 , 178,,2014 Spring
3 , 106,,2014 Spring
12 , 24,,2014 Spring
31 , 366,,2014 Winter
66 , 450,,2014 Winter
8 , 100,,2014 Winter
25 , 202,,2014 Winter
8 , 140,,2014 Winter
24 , 172,,2014 Winter
36 , 42,,2014 Winter
21 , 79,,2014 Winter
21 , 52,,2014 Winter
10 , 59,,2014 Winter
9 , 95,,2014 Winter
15 , 25,,2014 Winter
70 , 92,,2014 Winter
43 , 82,,2014 Winter
85 , 104,,2014 Winter
40 , 59,,2014 Winter
86 , 95,,2014 Winter
82 , 82,,2014 Winter
19 , 27,,2014 Winter
83 , 99,,2014 Winter
49 , 50,,2014 Winter
12 , 27,,2014 Winter
0 , 366,,2014 Winter
5 , 450,,2014 Winter
1 , 100,,2014 Winter
5 , 202,,2014 Winter
2 , 140,,2014 Winter
0 , 172,,2014 Winter
6 , 42,,2014 Winter
3 , 79,,2014 Winter
7 , 52,,2014 Winter
2 , 59,,2014 Winter
0 , 95,,2014 Winter
10 , 25,,2014 Winter
23 , 327,,2013 Winter
20 , 173,,2013 Winter
9 , 111,,2013 Winter
13 , 98,,2013 Winter
10 , 159,,2013 Winter
22 , 170,,2013 Winter
30 , 35,,2013 Winter
20 , 79,,2013 Winter
5 , 6,,2013 Winter
24 , 56,,2013 Winter
9 , 52,,2013 Winter
7 , 75,,2013 Winter
14 , 24,,2013 Winter
58 , 75,,2013 Winter
39 , 75,,2013 Winter
58 , 75,,2013 Winter
33 , 52,,2013 Winter
68 , 75,,2013 Winter
66 , 66,,2013 Winter
36 , 40,,2013 Winter
79 , 100,,2013 Winter
45 , 49,,2013 Winter
22 , 39,,2013 Winter
3 , 327,,2013 Winter
0 , 173,,2013 Winter
1 , 111,,2013 Winter
2 , 98,,2013 Winter
2 , 159,,2013 Winter
1 , 170,,2013 Winter
5 , 35,,2013 Winter
2 , 79,,2013 Winter
1 , 6,,2013 Winter
6 , 56,,2013 Winter
3 , 52,,2013 Winter
0 , 75,,2013 Winter
10 , 24,,2013 Winter
15 , 107,,2013 Fall
34 , 300,,2013 Fall
40 , 301,,2013 Fall
11 , 135,,2013 Fall
6 , 106,,2013 Fall
18 , 299,,2013 Fall
24 , 27,,2013 Fall
23 , 84,,2013 Fall
15 , 177,,2013 Fall
19 , 25,,2013 Fall
129 , 142,,2013 Fall
114 , 152,,2013 Fall
159 , 177,,2013 Fall
3 , 20,,2013 Fall
54 , 106,,2013 Fall
0 , 107,,2013 Fall
10 , 300,,2013 Fall
10 , 301,,2013 Fall
1 , 135,,2013 Fall
0 , 106,,2013 Fall
6 , 299,,2013 Fall
3 , 27,,2013 Fall
9 , 84,,2013 Fall
3 , 177,,2013 Fall
6 , 25,,2013 Fall
30 , 167,,2013 Spring
13 , 156,,2013 Spring
41 , 198,,2013 Spring
14 , 208,,2013 Spring
21 , 175,,2013 Spring
8 , 155,,2013 Spring
29 , 147,,2013 Spring
3 , 183,,2013 Spring
24 , 131,,2013 Spring
11 , 83,,2013 Spring
20 , 36,,2013 Spring
115 , 116,,2013 Spring
84 , 106,,2013 Spring
153 , 183,,2013 Spring
