num_people_enrolled,total_class_size,class_number,term
180,300,2,FALL 205
143,156,10,FALL 205
66,85,12A,FALL 205
23,85,12B,FALL 205
57,64,60G,FALL 205
0,0,60N,FALL 205
19,50,80V,FALL 205
37,75,101,FALL 205
21,75,102,FALL 205
34,75,104A,FALL 205
5,25,105,FALL 205
7,45,109,FALL 205
24,45,111,FALL 205
37,75,130,FALL 205
17,50,160,FALL 205
32,60,180,FALL 205
6,10,190X,FALL 205
0,999,193,FALL 205
0,999,194,FALL 205
0,999,195,FALL 205
0,999,198,FALL 205
40,40,200,FALL 205
30,45,201,FALL 205
27,45,203,FALL 205
12,15,221,FALL 205
18,10,242,FALL 205
3,15,277,FALL 205
4,25,280A,FALL 205
11,25,280S,FALL 205
11,10,290B,FALL 205
0,999,296,FALL 205
0,999,299,FALL 205
124,200,2,FALL 206
184,179,10,FALL 206
87,100,12A,FALL 206
58,90,60G,FALL 206
26,50,80B,FALL 206
16,100,80J,FALL 206
36,40,101,FALL 206
29,45,102,FALL 206
34,35,104A,FALL 206
14,40,111,FALL 206
30,40,130,FALL 206
24,40,160,FALL 206
7,15,190X,FALL 206
1,999,193,FALL 206
0,999,193,FALL 206
0,999,194,FALL 206
0,999,195,FALL 206
0,999,198,FALL 206
69,80,200,FALL 206
33,50,201,FALL 206
31,50,203,FALL 206
19,35,221,FALL 206
28,15,242,FALL 206
3,20,280G,FALL 206
15,15,280J,FALL 206
14,25,280S,FALL 206
0,999,296,FALL 206
0,999,299,FALL 206
143,150,2,FALL 207
232,250,10,FALL 207
77,90,12A,FALL 207
54,75,12B,FALL 207
56,80,60G,FALL 207
34,35,80B,FALL 207
38,50,80S,FALL 207
73,65,101,FALL 207
33,36,104A,FALL 207
22,40,111,FALL 207
32,40,160,FALL 207
3,40,164,FALL 207
10,40,170,FALL 207
3,15,190X,FALL 207
0,999,193,FALL 207
0,999,193,FALL 207
0,999,194,FALL 207
0,999,195,FALL 207
0,999,198,FALL 207
64,60,200,FALL 207
22,40,201,FALL 207
31,35,203,FALL 207
3,20,211,FALL 207
4,20,217,FALL 207
10,35,221,FALL 207
0,0,262,FALL 207
10,20,277,FALL 207
0,0,280A,FALL 207
4,15,280J,FALL 207
9,15,280S,FALL 207
10,20,280S,FALL 207
0,0,290A,FALL 207
13,15,290B,FALL 207
0,0,290F,FALL 207
0,999,296,FALL 207
0,999,299,FALL 207
157,170,2,FALL 208
62,75,5P,FALL 208
251,300,10,FALL 208
75,100,12A,FALL 208
77,90,12B,FALL 208
50,145,80V,FALL 208
56,135,101,FALL 208
49,50,104A,FALL 208
21,35,111,FALL 208
28,30,130,FALL 208
36,31,146,FALL 208
40,50,160,FALL 208
42,70,166A,FALL 208
27,28,170,FALL 208
22,75,182,FALL 208
9,24,191,FALL 208
0,999,193,FALL 208
61,90,200,FALL 208
26,40,201,FALL 208
5,20,217,FALL 208
0,0,240,FALL 208
0,0,244,FALL 208
14,15,277,FALL 208
6,15,280D,FALL 208
16,15,280S,FALL 208
13,15,280S,FALL 208
15,15,280X,FALL 208
10,15,290G,FALL 208
9,15,290S,FALL 208
165,170,2,FALL 209
91,90,5P,FALL 209
292,325,10,FALL 209
112,175,12A,FALL 209
88,90,12B,FALL 209
76,75,80J,FALL 209
82,100,101,FALL 209
46,50,104A,FALL 209
38,0,130,FALL 209
63,50,160,FALL 209
30,66,166A,FALL 209
27,35,170,FALL 209
50,55,180,FALL 209
0,999,193,FALL 209
48,90,200,FALL 209
25,36,201,FALL 209
9,15,221,FALL 209
21,40,242,FALL 209
8,15,280D,FALL 209
7,10,280G,FALL 209
16,10,280S,FALL 209
13,10,280S,FALL 209
8,15,280W,FALL 209
13,25,280X,FALL 209
1,15,290B,FALL 209
8,20,290G,FALL 209
8,15,290T,FALL 209
118,125,5C,FALL 2010
308,325,10,FALL 2010
106,125,12A,FALL 2010
123,124,12B,FALL 2010
95,90,101,FALL 2010
40,50,104A,FALL 2010
30,30,115,FALL 2010
58,50,130,FALL 2010
67,50,160,FALL 2010
38,48,166A,FALL 2010
46,100,170,FALL 2010
23,25,182,FALL 2010
3,0,191,FALL 2010
25,40,200,FALL 2010
28,40,201,FALL 2010
0,0,229,FALL 2010
11,15,244,FALL 2010
17,30,250,FALL 2010
0,5,250,FALL 2010
19,20,260,FALL 2010
11,15,278,FALL 2010
5,10,280D,FALL 2010
8,10,280G,FALL 2010
12,30,280S,FALL 2010
10,15,280S,FALL 2010
6,10,280W,FALL 2010
7,15,280X,FALL 2010
3,15,290S,FALL 2010
206,207,5J,FALL 2011
297,300,10,FALL 2011
139,145,12A,FALL 2011
128,142,12B,FALL 2011
170,207,25,FALL 2011
97,97,101,FALL 2011
63,90,104A,FALL 2011
29,50,115,FALL 2011
46,65,130,FALL 2011
41,0,142,FALL 2011
89,80,160,FALL 2011
266,260,5J,FALL 2012
290,300,10,FALL 2012
155,0,12A,FALL 2012
140,150,12B,FALL 2012
184,200,25,FALL 2012
