Rnaking by S-F,Insitution Name ,S-F ratio,Grad rate ,retention rate,Accept rate,Enrollement rate ,Aid Rateq,Defualt Rate 
1,Baptist Missionary Association Theological Seminary,3 to 1,0.5,N/A,0.7,0.7,0.9,N/A
2,International Baptist College and Seminary,4 to 1,0.6,0.79,N/A,N/A,0.91,0.02
3,Shasta Bible College and Graduate School,5 to 1,0.58,1,0.73,0.55,0.85,N/A
4,Maine College of Health Professions,5 to 1,1,1,0.25,0.25,0.59,N/A
5,Midwives College of Utah,5 to 1,N/A,1,1,1,0.3,N/A
6,Virginia Baptist College,5 to 1,1,0.25,N/A,N/A,0.38,N/A
7,Holy Apostles College and Seminary,6 to 1,0.6,1,N/A,N/A,0.22,N/A
8,Yale University,6 to 1,0.97,0.99,0.07,0.05,0.52,N/A
9,Saint Mary-of-the-Woods College,6 to 1,0.5,0.74,0.59,0.26,0.83,N/A
10,Southeastern Baptist College,6 to 1,0.8,0.4,N/A,N/A,0.21,N/A
11,University of Pennsylvania,6 to 1,0.95,0.98,0.1,0.07,0.54,N/A
12,Grace College of Divinity,6 to 1,N/A,0.83,0.53,0.5,0.24,N/A
13,American Medical Academy,6 to 1,0.75,0.83,N/A,N/A,0.18,N/A
14,California Institute of the Arts,7 to 1,0.56,0.87,0.25,0.09,0.55,0.08
15,Catholic University of America,7 to 1,0.69,0.86,0.79,0.15,0.83,0.02
16,MidAmerica Nazarene University,7 to 1,0.55,0.74,0.61,0.21,0.85,0.07
17,Harvard University,7 to 1,0.98,0.98,0.06,0.04,0.44,N/A
18,Simmons College,7 to 1,0.74,0.85,0.58,0.1,0.91,N/A
19,Yeshiva University,7 to 1,0.88,0.94,0.8,0.5,0.82,N/A
20,Piedmont International University,7 to 1,0.41,0.74,0.24,0.19,0.68,N/A
21,Averett University-Non-Traditional Programs,7 to 1,1,N/A,0.55,0.17,0.34,0.11
22,Emory University,8 to 1,0.89,0.94,0.24,0.07,0.54,N/A
23,University of Saint Mary,8 to 1,0.41,0.75,0.49,0.14,0.63,N/A
24,Washington University in St Louis,8 to 1,0.93,0.96,0.17,0.06,0.49,N/A
25,Skidmore College,8 to 1,0.86,0.94,0.36,0.08,0.48,N/A
26,Saint Elizabeth College of Nursing,8 to 1,0.5,1,0.5,0.39,0.67,0.04
27,University of Richmond,8 to 1,0.88,0.93,0.31,0.08,0.69,N/A
28,Simpson University,9 to 1,0.49,0.74,0.52,0.14,0.94,0.06
29,Nazarene Bible College,9 to 1,0.4,1,N/A,N/A,0.49,0.13
30,Agnes Scott College,9 to 1,0.68,0.87,0.62,0.19,0.95,0.07
31,Buena Vista University,9 to 1,0.51,0.78,0.68,0.16,0.85,0.07
32,Clarke University,9 to 1,0.57,0.76,0.72,0.14,0.91,0.06
33,Emmaus Bible College,9 to 1,0.75,0.83,0.35,0.14,0.95,N/A
34,Tulane University of Louisiana,9 to 1,0.83,0.92,0.3,0.07,0.7,N/A
35,Massachusetts College of Art and Design,9 to 1,0.72,0.92,0.71,0.23,0.55,0.07
36,Tufts University,9 to 1,0.93,0.97,0.16,0.07,0.43,N/A
37,Andrews University,9 to 1,0.54,0.8,0.39,0.12,0.84,0.07
38,Cox College,9 to 1,0.99,1,0.59,0.22,0.6,N/A
39,Bryan College of Health Sciences,9 to 1,0.79,0.86,0.86,0.67,0.56,0.03
40,Albany College of Pharmacy and Health Sciences,9 to 1,0.69,0.88,0.66,0.13,0.86,0.01
41,Cornell University,9 to 1,0.93,0.97,0.15,0.08,0.55,N/A
42,Nazareth College,9 to 1,0.73,0.84,0.76,0.14,0.97,0.04
43,Pamlico Community College,9 to 1,0.72,0.76,N/A,N/A,0.39,N/A
44,Queens University of Charlotte,9 to 1,0.53,0.74,0.67,0.13,0.86,0.07
